CR,101,06.01.2000
CR,101A,06.01.2000
CR,102,06.01.2000
CR,103,06.01.2000
CR,103A,06.01.2000
CR,104,06.01.2000
CR,104A,06.01.2000
CR,104B,06.01.2000
CR,105,06.01.2000
CR,105A,06.01.2000
CR,105B,06.01.2000
CR,105C,06.01.2000
CR,106,06.01.2000
CR,106A,06.01.2000
CR,106B,06.01.2000
CR,106C,06.01.2000
CR,107,06.01.2000
CR,108,06.01.2000
CR,109,06.01.2000
CR,110,06.01.2000
CR,110A,06.01.2000
CR,110C,06.01.2000
CR,110D,06.01.2000
CR,111,06.01.2000
CR,112,06.01.2000
CR,112A,06.01.2000
CR,113,06.01.2000
CR,114,06.01.2000
CR,115,06.01.2000
CR,115B,06.01.2000
CR,116,06.01.2000
CR,117,06.01.2000
CR,118,06.01.2000
CR,119,06.01.2000
CR,120,06.01.2000
CR,120A,06.01.2000
CR,121,06.01.2000
CR,122,06.01.2000
CR,122A,06.01.2000
CR,122B,06.01.2000
CR,122C,06.01.2000
CR,123,06.01.2000
CR,123B,06.01.2000
CR,124,06.01.2000
CR,125,06.01.2000
CR,126,06.01.2000
CR,126A,06.01.2000
CR,126B,06.01.2000
CR,127,06.01.2000
CR,128,06.01.2000
CR,128A,06.01.2000
CR,129,06.01.2000
CR,129A,06.01.2000
CR,130,06.01.2000
CR,130A,06.01.2000
CR,130B,06.01.2000
CR,131,06.01.2000
CR,132,06.01.2000
CR,133,06.01.2000
CR,134,06.01.2000
CR,134A,06.01.2000
CR,134B,06.01.2000
CR,134C,06.01.2000
CR,135,06.01.2000
CR,135A,06.01.2000
CR,136,06.01.2000
CR,136A,06.01.2000
CR,137,06.01.2000
CR,137A,06.01.2000
CR,137D,06.01.2000
CR,138,06.01.2000
CR,139,06.01.2000
CR,139B,06.01.2000
CR,140,06.01.2000
CR,140B,06.01.2000
CR,141,06.01.2000
CR,141A,06.01.2000
CR,141B,06.01.2000
CR,141C,06.01.2000
CR,142,06.01.2000
CR,142A,06.01.2000
CR,143,06.01.2000
CR,144,06.01.2000
CR,145,06.01.2000
CR,146,06.01.2000
CR,146A,06.01.2000
CR,147,06.01.2000
CR,148,06.01.2000
CR,148A,06.01.2000
CR,149,06.01.2000
CR,150,06.01.2000
CR,150A,06.01.2000
CR,151,06.01.2000
CR,152,06.01.2000
CR,152A,06.01.2000
CR,152B,06.01.2000
CR,152C,06.01.2000
CR,152D,06.01.2000
CR,152F,06.01.2000
CR,153,06.01.2000
CR,154,06.01.2000
CR,155,06.01.2000
CR,156,06.01.2000
CR,157,06.01.2000
CR,158,06.01.2000
CR,159,06.01.2000
CR,159B,06.01.2000
CR,160,06.01.2000
CR,161,06.01.2000
CR,161A,06.01.2000
CR,162,06.01.2000
CR,163,06.01.2000
CR,164,06.01.2000
CR,164A,06.01.2000
CR,165,06.01.2000
CR,165A,06.01.2000
CR,166,06.01.2000
CR,167,06.01.2000
CR,168,06.01.2000
CR,169,06.01.2000
CR,170,06.01.2000
CR,170A,06.01.2000
CR,171,06.01.2000
CR,172,06.01.2000
CR,172A,06.01.2000
CR,173,06.01.2000
CR,174,06.01.2000
CR,174B,06.01.2000
CR,175,06.01.2000
CR,175A,06.01.2000
CR,176,06.01.2000
CR,176A,06.01.2000
CR,177,06.01.2000
CR,178,06.01.2000
CR,179,06.01.2000
CR,179A,06.01.2000
CR,180,06.01.2000
CR,181,06.01.2000
CR,182,06.01.2000
CR,183,06.01.2000
CR,184,06.01.2000
CR,185,06.01.2000
CR,186,06.01.2000
CR,187,06.01.2000
CR,188,06.01.2000
CR,189,06.01.2000
CR,190,06.01.2000
CR,190A,06.01.2000
CR,204,06.01.2000
CR,205,06.01.2000
CR,211,06.01.2000
CR,211B,06.01.2000
CR,211E,06.01.2000
CR,215,06.01.2000
CR,215A,06.01.2000
CR,217,06.01.2000
CR,218,06.01.2000
CR,221,06.01.2000
CR,222,06.01.2000
CR,223,06.01.2000
CR,224,06.01.2000
CR,225,06.01.2000
CR,226,06.01.2000
CR,228,06.01.2000
CR,230,06.01.2000
CR,231,06.01.2000
CR,232,06.01.2000
CR,232D,06.01.2000
CR,233,06.01.2000
CR,234,06.01.2000
CR,234A,06.01.2000
CR,234B,06.01.2000
CR,301,06.01.2000
CR,301A,06.01.2000
CR,302,06.01.2000
CR,303,06.01.2000
CR,304,06.01.2000
CR,305,06.01.2000
CR,305C,06.01.2000
CR,306,06.01.2000
CR,306B,06.01.2000
CR,307,06.01.2000
CR,308,06.01.2000
CR,308A,06.01.2000
CR,308B,06.01.2000
CR,309,06.01.2000
CR,309A,06.01.2000
CR,309B,06.01.2000
CR,310,06.01.2000
CR,311,06.01.2000
CR,311A,06.01.2000
CR,311B,06.01.2000
CR,312,06.01.2000
CR,313,06.01.2000
CR,314,06.01.2000
CR,314A,06.01.2000
CR,315,06.01.2000
CR,316,06.01.2000
CR,317,06.01.2000
CR,317A,06.01.2000
CR,317B,06.01.2000
CR,318,06.01.2000
CR,319,06.01.2000
CR,319A,06.01.2000
CR,319B,06.01.2000
CR,320,06.01.2000
CR,320A,06.01.2000
CR,320B,06.01.2000
CR,320C,06.01.2000
CR,320D,06.01.2000
CR,321,06.01.2000
CR,321A,06.01.2000
CR,321B,06.01.2000
CR,321C,06.01.2000
CR,322,06.01.2000
CR,322A,06.01.2000
CR,322B,06.01.2000
CR,322C,06.01.2000
CR,323,06.01.2000
CR,324,06.01.2000
CR,325,06.01.2000
CR,326,06.01.2000
CR,326A,06.01.2000
CR,326B,06.01.2000
CR,326C,06.01.2000
CR,327,06.01.2000
CR,328,06.01.2000
CR,329,06.01.2000
CR,329A,06.01.2000
CR,329B,06.01.2000
CR,330,06.01.2000
CR,331,06.01.2000
CR,331A,06.01.2000
CR,332,06.01.2000
CR,332A,06.01.2000
CR,332B,06.01.2000
CR,332C,06.01.2000
CR,332D,06.01.2000
CR,332E,06.01.2000
CR,333,06.01.2000
CR,333A,06.01.2000
CR,333B,06.01.2000
CR,334,06.01.2000
CR,335,06.01.2000
CR,336,06.01.2000
CR,337,06.01.2000
CR,338,06.01.2000
CR,339,06.01.2000
CR,339A,06.01.2000
CR,340,06.01.2000
CR,340A,06.01.2000
CR,341,06.01.2000
CR,342,06.01.2000
CR,343,06.01.2000
CR,343A,06.01.2000
CR,344,06.01.2000
CR,345,06.01.2000
CR,345A,06.01.2000
CR,345B,06.01.2000
CR,346,06.01.2000
CR,347,06.01.2000
CR,348,06.01.2000
CR,348A,06.01.2000
CR,349,06.01.2000
CR,350,06.01.2000
CR,351,06.01.2000
CR,351A,06.01.2000
CR,352,06.01.2000
CR,353,06.01.2000
CR,353A,06.01.2000
CR,353B,06.01.2000
CR,354,06.01.2000
CR,355,06.01.2000
CR,356,06.01.2000
CR,356A,06.01.2000
CR,356B,06.01.2000
CR,357,06.01.2000
CR,357C,06.01.2000
CR,357D,06.01.2000
CR,358,06.01.2000
CR,358A,06.01.2000
CR,359,06.01.2000
CR,360,06.01.2000
CR,361,06.01.2000
CR,362,06.01.2000
CR,364,06.01.2000
CR,364A,06.01.2000
CR,365,06.01.2000
CR,365A,06.01.2000
CR,366,06.01.2000
CR,366A,06.01.2000
CR,368,06.01.2000
CR,369,06.01.2000
CR,370,06.01.2000
CR,371,06.01.2000
CR,372,06.01.2000
CR,372A,06.01.2000
CR,373,06.01.2000
CR,373A,06.01.2000
CR,374,06.01.2000
CR,374A,06.01.2000
CR,375,06.01.2000
CR,376,06.01.2000
CR,377,06.01.2000
CR,378,06.01.2000
CR,379,06.01.2000
N,1,06.01.2000
N,1A,06.01.2000
N,1B,06.01.2000
N,1C,06.01.2000
N,1D,06.01.2000
N,10,06.01.2000
N,10A,06.01.2000
N,10B,06.01.2000
N,10C,06.01.2000
N,10D,06.01.2000
N,10E,06.01.2000
N,10F,06.01.2000
N,11,06.01.2000
N,11A,06.01.2000
N,11B,06.01.2000
N,11C,06.01.2000
N,11D,06.01.2000
N,12,06.01.2000
N,13,06.01.2000
N,13A,06.01.2000
N,13B,06.01.2000
N,14,06.01.2000
N,14A,06.01.2000
N,15,06.01.2000
N,16,06.01.2000
N,16A,06.01.2000
N,17,06.01.2000
N,17A,06.01.2000
N,17B,06.01.2000
N,18,06.01.2000
N,19,06.01.2000
N,2,06.01.2000
N,2A,06.01.2000
N,20,06.01.2000
N,21,06.01.2000
N,22,06.01.2000
N,22A,06.01.2000
N,22B,06.01.2000
N,23,06.01.2000
N,24,06.01.2000
N,25,06.01.2000
N,26,06.01.2000
N,26A,06.01.2000
N,26B,06.01.2000
N,27,06.01.2000
N,27A,06.01.2000
N,27B,06.01.2000
N,27C,06.01.2000
N,28,06.01.2000
N,3,06.01.2000
N,3B,06.01.2000
N,31,06.01.2000
N,31A,06.01.2000
N,31B,06.01.2000
N,32,06.01.2000
N,33,06.01.2000
N,34,06.01.2000
N,35,06.01.2000
N,36,06.01.2000
N,37,06.01.2000
N,38,06.01.2000
N,4,06.01.2000
N,4C,06.01.2000
N,4D,06.01.2000
N,5,06.01.2000
N,5A,06.01.2000
N,5B,06.01.2000
N,5C,06.01.2000
N,5D,06.01.2000
N,5E,06.01.2000
N,5F,06.01.2000
N,50,06.01.2000
N,51,06.01.2000
N,52,06.01.2000
N,53,06.01.2000
N,53A,06.01.2000
N,55,06.01.2000
N,56,06.01.2000
N,56A,06.01.2000
N,57,06.01.2000
N,6,06.01.2000
N,7,06.01.2000
N,7A,06.01.2000
N,7B,06.01.2000
N,7C,06.01.2000
N,7D,06.01.2000
N,7E,06.01.2000
N,7F,06.01.2000
N,8,06.01.2000
